genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,girl_group
Dance,ITZY,달라달라 DALLA DALLA,6G7DuXoSGeAf6BZivJdEjF,82,0.00116,0.79,199874,0.853,4.23e-05,B,0.329,-4.564,Minor,0.0665,124.998,4/4,0.713,True
Dance,ITZY,WANT IT?,2O0QAxPowM2bQq9ibwbSZy,64,0.0428,0.745,200303,0.951,0.00386,F,0.203,-2.425,Major,0.0527,127.957,4/4,0.606,True
Dance,Girls' Generation,Lion Heart,405SQUJdQut02dxtuQ0CZ3,60,0.129,0.754,224258,0.788,0.00274,D,0.0775,-3.175,Major,0.0322,124.992,4/4,0.961,False
Dance,ITZY,달라달라 (DALLA DALLA),0GU5GuJQQEnnREO2FxnVPT,59,0.00116,0.79,199874,0.853,4.23e-05,B,0.329,-4.564,Minor,0.0665,124.998,4/4,0.713,True
Dance,Girls' Generation,I GOT A BOY,2WkPfNd237yc0l5KewCDpp,55,0.0342,0.502,271326,0.863,0.0,E,0.538,-1.273,Minor,0.272,97.911,4/4,0.527,False
Dance,Girls' Generation,Mr.Mr.,3JaMGQXJmtbAhvgl0nBPPN,57,0.114,0.701,235434,0.964,9.34e-06,E,0.153,-2.037,Minor,0.127,113.058,4/4,0.484,False
Dance,Girls' Generation,All Night,1UwERmn5UogyCz6qo21BmA,54,0.0308,0.777,222894,0.807,2.93e-05,A,0.228,-4.101,Minor,0.0517,129.984,4/4,0.732,False
Dance,Girls' Generation,The Boys,6o6XlivwGtP1JgQZ8IAwty,49,0.183,0.88,226893,0.949,0.0,C#,0.187,-0.585,Minor,0.0808,114.976,4/4,0.942,False
Dance,Girls' Generation,Holiday,1Bjy9ZtwMle3uhVgoBgiGN,55,0.0406,0.709,199563,0.867,0.0,C#,0.275,-3.258,Major,0.0672,120.022,4/4,0.877,False
Dance,Girls' Generation,Catch Me If You Can - Korean Version,5mejZAeca4Ry7Sptw7LnvS,53,0.0154,0.714,225173,0.852,0.0,A,0.135,-2.76,Minor,0.274,133.989,4/4,0.565,False
Dance,Girls' Generation,You Think,0FleCid5zJl78Gc4NSpg3s,51,0.00322,0.697,188609,0.832,0.0,E,0.196,-3.2,Minor,0.05,100.017,4/4,0.286,False
Pop,BTS,FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,80,0.00267,0.557,242334,0.719,0.0,D,0.306,-4.515,Minor,0.0372,77.501,4/4,0.344,False
Pop,BLACKPINK,DDU-DU DDU-DU,2aI2k39nfa3KFsa4JclQzw,77,0.0323,0.671,209355,0.859,0.0,E,0.267,-3.922,Minor,0.0833,139.931,4/4,0.389,True
Pop,BTS,IDOL,2AIWoHr9DF6y4KALCBKWQS,79,0.00481,0.734,222732,0.855,0.0,A,0.123,-3.211,Major,0.118,126.035,4/4,0.422,False
Pop,BTS,Euphoria,3p6hnejEQYXkiTO1lAzVc0,77,0.394,0.637,228615,0.799,0.0,D,0.0921,-4.519,Major,0.0338,104.995,4/4,0.562,False
Pop,BTS,Blood Sweat & Tears,5RGf8qn1TBWVplLyyKUsuV,77,0.0244,0.583,217052,0.885,0.0,C,0.357,-3.571,Minor,0.106,92.959,4/4,0.601,False
Pop,TOMORROW X TOGETHER,CROWN,32h6yQGn4oAhZ0HRsTMX26,78,0.0505,0.622,230707,0.8,0.0,F,0.0619,-5.819,Major,0.0425,110.977,4/4,0.58,False
Pop,BTS,DNA,5SE57ljOIUJ1ybL9U6CuBH,77,0.022,0.598,223123,0.775,0.0,C#,0.0677,-4.035,Minor,0.0545,129.819,4/4,0.687,False
Pop,BTS,MIC Drop (feat. Desiigner) [Steve Aoki Remix],7Ed6BkggCS2KaKY5YlINaF,75,0.0157,0.613,238726,0.842,0.0,A#,0.23,-4.332,Minor,0.219,169.917,4/4,0.645,False
Pop,BTS,Spring Day,0WNGsQ1oAuHzNTk8jivBKW,75,0.0063,0.539,274097,0.846,1.68e-06,G#,0.13,-3.192,Major,0.0354,106.992,4/4,0.46,False
Pop,BLACKPINK,As If It's Your Last,1Zyd6zQnC6XIIzmg3hP7Ot,78,0.0688,0.786,213264,0.853,0.0,G#,0.0759,-2.687,Major,0.0816,125.034,4/4,0.45,True
Pop,BTS,Serendipity (Full Length Edition),5cQB9fbuQCz4muQUFkv3rR,74,0.445,0.347,276708,0.578,0.0,G#,0.231,-7.525,Major,0.0626,86.73,5/4,0.226,False
Pop,BTS,Save Me,54s6sdPuMjVtdB5d5KFzTC,74,0.0269,0.614,196506,0.823,0.0,C#,0.0783,-3.48,Major,0.062,139.949,4/4,0.539,False
Pop,BTS,Trivia 轉 : Seesaw,1ZPpGPko8oULTmi34rozMh,74,0.181,0.707,246334,0.791,0.0,F,0.102,-4.481,Minor,0.035,106.985,4/4,0.678,False
Pop,Red Velvet,Bad Boy,5GKwq4sO5ZHKuWaDmdwMQc,75,0.191,0.714,210818,0.736,0.0,D,0.0553,-3.801,Major,0.0457,149.985,4/4,0.814,True
Pop,BTS,I'm Fine,0EQMrxdeiBhry9JCxskko3,74,0.00852,0.51,240339,0.842,0.0,B,0.346,-2.782,Minor,0.103,87.605,4/4,0.302,False
Pop,BLACKPINK,BOOMBAYAH,3yHQKddM8SVCRnuPSo3HPN,77,0.00264,0.658,240849,0.836,1.02e-06,F,0.507,-3.282,Minor,0.0549,124.969,4/4,0.387,True
Pop,BTS,Epiphany,7L8hkKW4hnemNfuOfEZcle,73,0.29,0.509,240362,0.558,0.0,D,0.131,-6.369,Minor,0.0276,135.879,4/4,0.327,False
Pop,BTS,Burning Up (Fire),4z9gBZQjGS4QLb4LOvmeuA,73,0.00227,0.627,203352,0.706,0.0,A#,0.122,-3.201,Minor,0.0597,99.93,4/4,0.536,False
Pop,IZ*ONE,La Vie en Rose,1fRaznZsAB2i63TtmYv2Hc,76,0.0899,0.698,218994,0.908,0.0,A,0.115,-1.211,Minor,0.0548,115.975,4/4,0.606,True
Pop,BTS,MIC Drop (Steve Aoki Remix) [Full Length Edition],75scDPqGs75FotglJSoOI2,73,0.0114,0.606,307676,0.848,1.06e-06,B,0.206,-3.952,Major,0.184,170.01,4/4,0.54,False
Pop,BLACKPINK,Forever Young,56bHclo7YNvpujMveLElQn,72,0.0426,0.6,237077,0.96,0.0,E,0.0882,-1.807,Major,0.095,109.863,4/4,0.503,True
Pop,BTS,Not Today,4hrpoqJMVE7FxBu1YWx0eQ,72,0.00181,0.594,231860,0.946,1.04e-06,G#,0.923,-3.408,Major,0.126,110.024,4/4,0.665,False
Pop,BLACKPINK,PLAYING WITH FIRE,7e7VjLxO5xJINHvnRytrqi,75,0.0399,0.707,197355,0.758,0.0,E,0.141,-4.511,Minor,0.0917,97.037,4/4,0.674,True
Pop,BTS,Singularity,3gpU0uqDonMBKEcJu4Rzsf,71,0.554,0.775,196998,0.271,0.00285,C#,0.112,-9.131,Minor,0.092,104.001,3/4,0.204,False
Pop,BTS,The Truth Untold,48XfojJC87VKLlUotYV0Gm,71,0.372,0.57,242293,0.422,0.0,C#,0.127,-7.561,Minor,0.0422,113.007,4/4,0.169,False
Pop,Red Velvet,RBB (Really Bad Boy),4xjVP2Vogo0C72o6Nevq0W,74,0.012,0.719,188786,0.85,0.000239,D,0.114,-3.229,Major,0.0317,150.059,4/4,0.367,True
