,Episode,Date,Artist,Song,Points,Award Show,Search Query,Song ID
0,"1,121","January 9, 2022",Ive,Eleven,"8,533",Inkigayo,track:Eleven artist:Ive year:2000-2022,7n2FZQsaLb7ZRfRPfEeIvr
1,"1,122","January 16, 2022",Ive,Eleven,"6,583",Inkigayo,track:Eleven artist:Ive year:2000-2022,7n2FZQsaLb7ZRfRPfEeIvr
2,"1,123","January 23, 2022",Ive,Eleven,"5,927",Inkigayo,track:Eleven artist:Ive year:2000-2022,7n2FZQsaLb7ZRfRPfEeIvr
3,"1,124","January 30, 2022",Got the Beat,Step Back,"5,612",Inkigayo,track:Step Back artist:Got the Beat year:2000-2022,3LCwQoTrdQgHsGJE5gGVqx
4,"1,125","February 20, 2022",Got the Beat,Step Back,"7,224",Inkigayo,track:Step Back artist:Got the Beat year:2000-2022,3LCwQoTrdQgHsGJE5gGVqx
5,"1,126","February 27, 2022",Taeyeon,INVU,"7,041",Inkigayo,track:INVU artist:Taeyeon year:2000-2022,7rXcCpIAoOUCydkVDMcoPV
6,"1,127","March 6, 2022",Taeyeon,INVU,"6,783",Inkigayo,track:INVU artist:Taeyeon year:2000-2022,7rXcCpIAoOUCydkVDMcoPV
7,"1,128","March 13, 2022",Taeyeon,INVU,"7,083",Inkigayo,track:INVU artist:Taeyeon year:2000-2022,7rXcCpIAoOUCydkVDMcoPV
8,"1,129","March 20, 2022",Kim Min-seok,Drunken Confession,"5,514",Inkigayo,track:Drunken Confession artist:Kim Min-seok year:2000-2022,0hqngwyh8WnPuYlLYHRQqp
9,"1,130","March 27, 2022",(G)I-dle,Tomboy,"8,037",Inkigayo,track:Tomboy artist:(G)I-dle year:2000-2022,6WYsZJDfUOftGVji74yYSU
10,"1,132","April 10, 2022",NCT Dream,Glitch Mode,"6,845",Inkigayo,track:Glitch Mode artist:NCT Dream year:2000-2022,5b1PngLlxc7hj3fJXrE2Zm
11,"1,133","April 17, 2022",Big Bang,Still Life,"8,673",Inkigayo,track:Still Life artist:Big Bang year:2000-2022,3TSLqZssCoCdDlMhCJ08XW
12,"1,134","April 24, 2022",Big Bang,Still Life,"9,394",Inkigayo,track:Still Life artist:Big Bang year:2000-2022,3TSLqZssCoCdDlMhCJ08XW
13,"1,135","May 1, 2022",Big Bang,Still Life,"8,681",Inkigayo,track:Still Life artist:Big Bang year:2000-2022,3TSLqZssCoCdDlMhCJ08XW
14,"1,136","May 8, 2022",Ive,Love Dive,"6,726",Inkigayo,track:Love Dive artist:Ive year:2000-2022,0Q5VnK2DYzRyfqQRJuUtvi
15,"1,137","May 15, 2022",Psy,That That,"9,402",Inkigayo,track:That That artist:Psy year:2000-2022,7GNRUsU3M4XNDDB9xle5Dz
