,Episode,Date,Artist,Song,Points,Award Show
0,—,"January 6, 2022",No Broadcast or Winner,No Broadcast or Winner,No Broadcast or Winner,M Countdown
1,735,"January 13, 2022",Kep1er,"""Wa Da Da""","6,500",M Countdown
2,736,"January 20, 2022",Kep1er,"""Wa Da Da""","6,569",M Countdown
3,737,"January 27, 2022",Wheein,"""Make Me Happy""","7,220",M Countdown
4,738,"February 3, 2022",Got the Beat,"""Step Back""",—,M Countdown
5,739,"February 10, 2022",Yena,"""Smiley""","8,097",M Countdown
6,740,"February 17, 2022",Viviz,"""Bop Bop!""","6,564",M Countdown
7,741,"February 24, 2022",Taeyeon,"""INVU""","9,676",M Countdown
8,742,"March 3, 2022",BtoB,"""The Song""","8,976",M Countdown
9,743,"March 10, 2022",STAYC,"""Run2U""",—,M Countdown
10,744,"March 17, 2022",STAYC,"""Run2U""","6,569",M Countdown
11,745,"March 24, 2022",(G)I-dle,"""Tomboy""","8,259",M Countdown
12,746,"March 31, 2022",(G)I-dle,"""Tomboy""","7,688",M Countdown
13,747,"April 7, 2022",NCT Dream,"""Glitch Mode""","7,536",M Countdown
14,748,"April 14, 2022",Big Bang,"""Still Life""","8,181",M Countdown
15,749,"April 21, 2022",Big Bang,"""Still Life""","8,216",M Countdown
16,750,"April 28, 2022",Big Bang,"""Still Life""","8,256",M Countdown
17,751,"May 5, 2022",Ive,"""Love Dive""","7,520",M Countdown
18,752,"May 12, 2022",Lim Young-woong,"""If We Ever Meet Again""","8,896",M Countdown
19,753,"May 19, 2022",Psyfeat.Suga,"""That That""",—,M Countdown
20,754,"May 26, 2022",Astro,"""Candy Sugar Pop""","8,434",M Countdown
21,755,"June 2, 2022",Seventeen,"""Hot""","7,718",M Countdown
22,756,"June 9, 2022",NCT Dream,"""Beatbox""",—,M Countdown
23,757,"June 16, 2022",BTS,"""Yet to Come""","10,333",M Countdown
24,758,"June 23, 2022",BTS,"""Yet to Come""","11,000",M Countdown
25,759,"June 30, 2022",BTS,"""Yet to Come""","9,037",M Countdown
26,760,"July 7, 2022",Fromis 9,"""Stay This Way""","9,262",M Countdown
27,761,"July 14, 2022",Nayeon,"""Pop!""","7,266",M Countdown
28,762,"July 21, 2022",Aespa,"""Girls""","7,741",M Countdown
29,763,"July 28, 2022",Seventeen,"""_World""","10,633",M Countdown
30,764,"August 4, 2022",Seventeen,"""_World""","6,746",M Countdown
31,765,"August 11, 2022",Itzy,"""Sneakers""","7,944",M Countdown
32,766,"August 18, 2022",NewJeans,"""Attention""",—,M Countdown
