artist,song,title,uploader,duration_sec,url,downloaded_at
G-Dragon,HOME SWEET HOME,G-DRAGON - HOME SWEET HOME (Official Audio) (feat. TAEYANG & DAESUNG),OfficialGDRAGON,211,https://www.youtube.com/watch?v=fLi0EJfi_vg,2025-09-04T12:50:47.057520
aespa,Whiplash,aespa 에스파 'Whiplash' MV,SMTOWN,191,https://www.youtube.com/watch?v=jWQx2f-CErU,2025-09-04T12:51:04.877420
ROSÉ,toxic till the end,ROSÉ - toxic till the end (OFFICIAL MUSIC VIDEO),ROSÉ,234,https://www.youtube.com/watch?v=eA0lHNZ1KCA,2025-09-04T12:51:19.444881
Taeyeon,Letter To Myself,TAEYEON (태연) 'Letter To Myself' Official Audio,JXS_BP Official,184,https://www.youtube.com/watch?v=MEwbIPJjs98,2025-09-04T12:51:31.665265
NCT DREAM,When I'm With You,NCT DREAM (엔씨티 드림) 'When I'm With You' Official Audio,JXS_BP Official,211,https://www.youtube.com/watch?v=LwbDDjBhCvU,2025-09-04T12:51:45.703896
SEVENTEEN,World,SEVENTEEN (세븐틴) _World 「Audio」,K MUSIC,180,https://www.youtube.com/watch?v=8hlAnGh96Yc,2025-09-04T12:52:25.175422
IVE,Love Dive,LOVE DIVE,IVE,177,https://www.youtube.com/watch?v=l-jZOXa7gQY,2025-09-04T13:03:20.075495
G-Dragon,HOME SWEET HOME,G-DRAGON - HOME SWEET HOME (Official Audio) (feat. TAEYANG & DAESUNG),OfficialGDRAGON,211,https://www.youtube.com/watch?v=fLi0EJfi_vg,2025-09-04T13:04:11.249929
aespa,Whiplash,aespa 에스파 'Whiplash' MV,SMTOWN,191,https://www.youtube.com/watch?v=jWQx2f-CErU,2025-09-04T13:04:24.858763
ROSÉ,toxic till the end,ROSÉ - toxic till the end (OFFICIAL MUSIC VIDEO),ROSÉ,234,https://www.youtube.com/watch?v=eA0lHNZ1KCA,2025-09-04T13:04:35.966800
Taeyeon,Letter To Myself,TAEYEON (태연) 'Letter To Myself' Official Audio,JXS_BP Official,184,https://www.youtube.com/watch?v=MEwbIPJjs98,2025-09-04T13:04:50.214824
NCT DREAM,When I'm With You,NCT DREAM (엔씨티 드림) 'When I'm With You' Official Audio,JXS_BP Official,211,https://www.youtube.com/watch?v=LwbDDjBhCvU,2025-09-04T13:05:01.302208
G-Dragon,POWER,G-Dragon (지드래곤) 'POWER' (Color Coded Lyrics),Jaeguchi,142,https://www.youtube.com/watch?v=7vMZgUFhnc8,2025-09-04T13:24:53.070642
ROSÉ,APT (with Bruno Mars),ROSÉ & Bruno Mars - APT. (Official Lyric Video),Bruno Mars,170,https://www.youtube.com/watch?v=8Ebqe2Dbzls,2025-09-04T13:25:34.696751
THE BOYZ,TRIGGER,THE BOYZ (더보이즈) 'TRIGGER (導火線)' Official Audio,JXS_BP Official,194,https://www.youtube.com/watch?v=_u3dGvgihug,2025-09-04T13:25:45.688747
ILLIT,Cherish (My Love),ILLIT (아일릿) ‘Cherish (My Love)’ Official MV,HYBE LABELS,215,https://www.youtube.com/watch?v=tbDGl7jEazA,2025-09-04T13:25:56.501866
SEVENTEEN,"LOVE, MONEY, FAME","SEVENTEEN (세븐틴) 'LOVE, MONEY, FAME (feat. DJ Khaled)' Official Audio",JXS_BP Official,186,https://www.youtube.com/watch?v=1qjSfoMd1qA,2025-09-04T13:26:10.804261
aespa,Up (KARINA),UP (KARINA Solo),aespa,167,https://www.youtube.com/watch?v=U1_0Vc-9mNw,2025-09-09T10:50:11.347428
QWER,My Name Is Malgeum,QWER My Name is Malguem Lyrics (Color Coded Lyrics),Chaereve,188,https://www.youtube.com/watch?v=6X6ryiIzn6o,2025-09-09T10:51:28.271591
AB6IX,NVKED,NVKED,AB6IX,161,https://www.youtube.com/watch?v=NxB66OOm6Ek,2025-09-09T10:51:40.915334
fromis_9,Supersonic,fromis_9 (프로미스나인) 'Supersonic' Official Audio,JXS_BP Official,174,https://www.youtube.com/watch?v=nF5A1FOuHkQ,2025-09-09T10:51:53.540956
YENA,NEMONEMO,YENA (최예나) 'NEMONEMO' Official Audio,JXS_BP Official,178,https://www.youtube.com/watch?v=UVgTo2PDCuE,2025-09-09T10:52:07.168612
KEY,Pleasure Shop,KEY (키) 'Pleasure Shop' Official Audio,JXS_BP Official,182,https://www.youtube.com/watch?v=izCwNZW46yk,2025-09-09T10:52:20.599990
