Show,Date,Placement,Artist,Song,Total
Music Bank,12-09,1.,ITZY,Cheshire,"8,462"
Music Bank,12-02,1.,CSR,♡Ticon,"6,407"
Music Bank,11-25,1.,Verivery,Tap Tap,"6,069"
Music Bank,11-18,1.,Highlight,Alone,"7,618"
Music Bank,11-11,1.,LE SSERAFIM,ANTIFRAGILE,"6,137"
Music Bank,11-04,1.,LE SSERAFIM,ANTIFRAGILE,"8,786"
Music Bank,10-28,1.,(G)I-DLE,Nxde,"12,541"
Music Bank,10-21,1.,STRAY KIDS,Case 143,"8,113"
Music Bank,10-14,1.,STRAY KIDS,Case 143,"11,168"
Music Bank,10-07,1.,IVE,After LIKE,"6,966"
Music Bank,09-30,1.,NCT 127,2 Baddies,"9,309"
Music Bank,09-23,1.,IVE,After LIKE,"7,502"
Music Bank,09-16,1.,ONEUS,Same Scent,"8,115"
Music Bank,09-09,1.,IVE,After LIKE,"11,406"
Music Bank,09-02,1.,IVE,After LIKE,"12,174"
Music Bank,08-26,1.,THE BOYZ,Whisper,"11,097"
Music Bank,08-19,1.,NewJeans,Attention,"11,150"
Music Bank,08-12,1.,ATEEZ,Guerrilla,"6,169"
Music Bank,08-05,1.,ATEEZ,Guerrilla,"8,474"
Music Bank,07-29,1.,SEVENTEEN,_WORLD,"10,353"
Music Bank,07-22,1.,ITZY,SNEAKERS,"10,427"
Music Bank,07-15,1.,ENHYPEN,Future Perfect (Pass the Mic),"8,577"
Music Bank,07-08,1.,fromis_9,Stay That Way,"8,378"
Music Bank,07-01,1.,Kep1er,Up!,"7,268"
Music Bank,06-24,1.,BTS,Yet to Come,"5,573"
Music Bank,06-17,1.,BTS,Yet to Come,"6,692"
Music Bank,06-10,1.,NCT DREAM,Beatbox,"11,069"
Music Bank,06-03,1.,SEVENTEEN,Hot,"13,816"
Music Bank,05-27,1.,ASTRO,Candy Sugar Pop,"6,561"
Music Bank,05-20,1.,TOMORROW X TOGETHER,Good Boy Gone Bad,"12,610"
Music Bank,05-13,1.,LE SSERAFIM,FEARLESS,"7,331"
Music Bank,05-06,1.,MONSTA X,Love,"8,499"
Music Bank,04-29,1.,IVE,LOVE DIVE,"6,959"
Music Bank,04-22,1.,IVE,LOVE DIVE,"7,324"
Music Bank,04-15,1.,IVE,LOVE DIVE,"12,095"
Music Bank,04-08,1.,NCT DREAM,Glitch Mode,"10,718"
Music Bank,04-01,1.,Red Velvet,Feel My Rhythm,"8,416"
Music Bank,03-25,1.,STRAY KIDS,Maniac,"10,596"
Music Bank,03-18,1.,Taeyeon,INVU,"9,989"
Music Bank,03-11,1.,STAYC,RUN2U,"4,719"
Music Bank,03-04,1.,STAYC,RUN2U,"6,821"
Music Bank,02-25,1.,TREASURE,JIKJIN,"4,520"
Music Bank,02-18,1.,IVE,ELEVEN,"2,566"
Music Bank,02-11,1.,IVE,ELEVEN,"3,058"
Music Bank,02-04,1.,PENTAGON,Feelin' Like,"3,426"
Music Bank,01-28,1.,IU,Winter Sleep,"2,949"
Music Bank,01-21,1.,ENHYPEN,Blessed-Cursed,"8,377"
Music Bank,01-14,1.,Kep1er,WA DA DA,"3,678"
Music Bank,01-07,1.,NCT U,Universe (Let's Play Ball),"5,930"
