Show,Date,Placement,Artist,Song,Total
The Show,11-22-2022,1.,YooA,Selfish,"7,227"
The Show,11-15-2022,1.,Highlight,Alone,"9,170"
The Show,10-25-2022,1.,(G)I-DLE,Nxde,"8,551"
The Show,10-18-2022,1.,DKZ,Uh-Heung,"8,530"
The Show,10-04-2022,1.,Cravity,Party Rock,"9,110"
The Show,09-20-2022,1.,ONEUS,Same Scent,"9,370"
The Show,09-13-2022,1.,ONEUS,Same Scent,"7,950"
The Show,09-06-2022,1.,IVE,After LIKE,"7,403"
The Show,08-30-2022,1.,IVE,After LIKE,"8,734"
The Show,08-09-2022,1.,ATEEZ,Guerrilla,"8,640"
The Show,08-02-2022,1.,ATEEZ,Guerrilla,"7,200"
The Show,07-26-2022,1.,STAYC,BEAUTIFUL MONSTER,"8,369"
The Show,07-19-2022,1.,Chung Ha,Sparkling,"6,984"
The Show,07-12-2022,1.,ENHYPEN,Future Perfect (Pass the Mic),"7,200"
The Show,07-05-2022,1.,fromis_9,Stay That Way,"8,270"
The Show,06-28-2022,1.,LOONA,Flip That,"8,200"
The Show,06-07-2022,1.,Jo Yu-ri,Love Shhh!,"6,489"
The Show,05-24-2022,1.,ASTRO,Candy Sugar Pop,"8,970"
The Show,05-17-2022,1.,LE SSERAFIM,FEARLESS,"9,670"
The Show,05-10-2022,1.,LE SSERAFIM,FEARLESS,"8,456"
The Show,05-03-2022,1.,Miyeon,Drive,"6,944"
The Show,04-26-2022,1.,Dreamcatcher,MAISON,"7,914"
The Show,04-26-2022,2.,DKZ,Cupid,"7,900"
The Show,04-26-2022,3.,EPEX,Anthem of Teen Spirit,"2,948"
The Show,04-19-2022,1.,IVE,LOVE DIVE,"8,184"
The Show,04-19-2022,2.,Dreamcatcher,MAISON,"3,559"
The Show,04-19-2022,12.,DKZ,Cupid,"3,560"
The Show,04-12-2022,1.,IVE,LOVE DIVE,"9,400"
The Show,04-05-2022,1.,Oh My Girl,Real Love,"8,881"
The Show,03-29-2022,1.,Highlight,DAYDREAM,"8,650"
The Show,03-22-2022,1.,(G)I-DLE,TOMBOY,"7,970"
The Show,03-08-2022,1.,STAYC,RUN2U,"7,669"
The Show,03-01-2022,1.,STAYC,RUN2U,"8,261"
The Show,02-22-2022,1.,Apink,Dilemma,"9,700"
The Show,01-25-2022,1.,fromis_9,DM,"8,353"
