Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (Hanteo),SNS (YouTube),Pre-vote,Broadcast,Live Vote
The Show,12-03-2024,1.,WayV,FREQUENCY,"7,920",,,,,,
The Show,12-03-2024,2.,izna,IZNA,"5,519",,,,,,
The Show,12-03-2024,3.,NOWADAYS,Let's get it,"2,814",,,,,,
The Show,11-12-2024,1.,Kep1er,TIPI-TAP,"7,680",,,,,,
The Show,11-12-2024,2.,EPEX,UNIVERSE,"7,445",,,,,,
The Show,11-12-2024,3.,VIVIZ,Shhh!,"5,348",,,,,,
The Show,11-05-2024,1.,tripleS,Hit the Floor,"6,900","1,580","1,000","2,000",500,820,"1,000"
The Show,11-05-2024,2.,STAYC,GPT,"5,942","4,000",0,580,300,790,272
The Show,11-05-2024,3.,Kep1er,TIPI-TAP,"2,662",740,500,300,10,"1,060",52
The Show,10-29-2024,1.,KISS OF LIFE,Get Loud,"6,552","4,000",60,"1,150",340,700,302
The Show,10-29-2024,2.,tripleS,Hit the Floor,"6,500","1,140","1,000","2,000",500,860,"1,000"
The Show,10-29-2024,3.,SAY MY NAME,WaveWay,"2,979",340,90,"1,790",30,680,49
The Show,09-24-2024,1.,P1Harmony,SAD SONG,"7,049",,,,,,
The Show,09-24-2024,2.,Lee Jegyu,Mironi,"4,582",,,,,,
The Show,09-24-2024,3.,xikers,Bittersweet,"3,990",,,,,,
The Show,09-03-2024,1.,ZEROBASEONE,GOOD SO BAD,"9,350","4,000","1,000","2,000",500,850,"1,000"
The Show,09-03-2024,2.,Oh My Girl,Classified,"4,735","2,920",40,710,100,870,95
The Show,09-03-2024,3.,YOUNG POSSE,ATE THAT,"2,569",220,10,"1,350",10,970,9
The Show,08-27-2024,1.,SF9,"Don't Worry, Be Happy","7,190",,,,,,
The Show,08-27-2024,2.,YOUNG POSSE,ATE THAT,"3,926",,,,,,
The Show,08-27-2024,3.,DRIPPIN,Weekend,"3,128",,,,,,
The Show,08-20-2024,1.,fromis_9,Supersonic,"9,210",,,,,,
The Show,08-20-2024,2.,UNIS,Curious,"3,031",,,,,,
The Show,08-20-2024,3.,LUN8,WHIP,"1,697",,,,,,
The Show,07-09-2024,1.,KISS OF LIFE,Sticky,"7,900","4,000",0,"2,000",500,400,"1,000"
The Show,07-09-2024,2.,NCT WISH,Songbird,"5,494","1,180","1,000",820,360,"1,500",634
The Show,07-09-2024,3.,Lee Chae-yeon,Don't,"2,288",380,30,610,70,930,268
The Show,07-02-2024,1.,TWS,"If I'm S, Can You Be My N?","9,480","4,000","1,000","2,000",500,980,"1,000"
The Show,07-02-2024,2.,H1-Key,Let It Burn,"3,036","1,470",20,550,40,840,116
The Show,07-02-2024,3.,CHUU,Strawberry Rush,"2,982","1,230",80,550,30,"1,030",62
The Show,06-25-2024,1.,RIIZE,Boom Boom Bass,"9,320","4,000","1,000","2,000",500,820,"1,000"
The Show,06-25-2024,2.,EVNNE,Badder Love,"2,812",640,170,560,270,740,432
The Show,06-25-2024,3.,Kwon Eun-bi,SABOTAGE,"2,323",710,30,300,20,"1,180",83
The Show,06-11-2024,1.,WayV,Give me That,"7,270","3,180","1,000",420,500,"1,170","1,000"
The Show,06-11-2024,2.,Kep1er,Shooting Star,"6,527","3,330",270,"1,310",320,"1,030",267
The Show,06-11-2024,3.,TWS,hey!hey!,"4,998","4,000",0,230,20,730,18
The Show,06-04-2024,1.,ATEEZ,WORK,"9,380","4,000","1,000","2,000",490,890,"1,000"
The Show,06-04-2024,2.,XG,WOKE UP,"3,355",210,20,"1,560",500,840,225
The Show,06-04-2024,3.,JD1,ERROR 405,"1,859",890,50,30,100,510,279
The Show,05-28-2024,1.,ZEROBASEONE,Feel The POP,"7,430","1,780","1,000","2,000",500,"1,150","1,000"
The Show,05-28-2024,2.,tripleS,Girls Never Die,"5,819","4,000",10,230,280,"1,030",269
The Show,05-28-2024,3.,ONEUS,Now,"2,988",240,0,"1,370",160,750,468
The Show,05-21-2024,1.,ZEROBASEONE,Feel The POP,"8,750","3,410","1,000","2,000",500,840,"1,000"
The Show,05-21-2024,2.,tripleS,Girls Never Die,"4,713","4,000",60,170,10,440,33
The Show,05-21-2024,3.,ZEROBASEONE,SWEAT,"3,435","1,410","1,000",60,10,940,15
The Show,05-14-2024,1.,tripleS,Girls Never Die,"7,200","2,140","1,000","1,860",500,700,"1,000"
The Show,05-14-2024,2.,Kim Jae-hwan,Amaid,"5,925","4,000",200,360,470,870,25
The Show,05-14-2024,3.,YOUNITE,GEEKIN,"3,394",40,100,"2,000",50,780,424
The Show,05-07-2024,1.,Solar,But I,"7,270","4,000",290,650,500,830,"1,000"
The Show,05-07-2024,2.,YOUNITE,GEEKIN,"3,761",500,"1,000","1,280",230,630,121
The Show,05-07-2024,3.,82MAJOR,Choke,"2,950",330,200,"2,000",10,390,20
The Show,04-23-2024,1.,BOYNEXTDOOR,"Earth, Wind & Fire","9,200","4,000","1,000","2,000",500,700,"1,000"
The Show,04-23-2024,2.,ILLIT,Magnetic,"4,264","2,910",10,250,130,920,44
The Show,04-23-2024,3.,EPEX,Youth2Youth,"1,957",280,50,540,20,950,117
The Show,04-16-2024,1.,ONF,Bye My Monster,"7,490","3,970",310,810,500,900,"1,000"
