Show,Date,Placement,Artist,Song,Total,Digital sales,Broadcast,Voting,Physical album,Video views
Music Bank,07-25-2025,1.,NCT DREAM,BTTF,"9,732",336,"3,262","2,000","4,083",51
Music Bank,07-25-2025,2.,BLACKPINK,JUMP,"3,378","2,500",30,2,0,846
Music Bank,07-18-2025,1.,CLOSE YOUR EYES,Snowy Summer,"5,394",23,"3,913",928,529,1
Music Bank,07-18-2025,2.,Twice,THIS IS FOR,"5,175",11,783,0,"4,198",183
Music Bank,07-11-2025,1.,AHOF,Rendezvous,"7,941",90,"4,232","2,000","1,603",16
Music Bank,07-11-2025,2.,aespa,Dirty Work,"6,352","2,218","2,746",596,631,161
Music Bank,07-04-2025,1.,fromis_9,LIKE YOU BETTER,"6,903",484,"3,882","2,000",515,22
Music Bank,07-04-2025,2.,aespa,Dirty Work,"6,844",799,0,174,"5,704",167
Music Bank,06-27-2025,1.,ILLIT,Do the Dance,"11,932",460,"3,721","2,000","5,614",137
Music Bank,06-27-2025,2.,ATEEZ,Lemon Drop,"4,309",12,"3,312",719,217,49
Music Bank,06-20-2025,1.,Doyoung,Memory,"7,063",403,"2,746","2,000","1,901",13
Music Bank,06-20-2025,2.,ATEEZ,Lemon Drop,"6,857",17,"3,581",432,"2,790",37
Music Bank,06-13-2025,1.,ENHYPEN,Bad Desire (With or Without You),"15,416",22,"4,177","2,000","9,093",124
Music Bank,06-13-2025,2.,SEVENTEEN,THUNDER,"4,942",984,"3,173",637,5,143
Music Bank,06-06-2025,1.,SEVENTEEN,THUNDER,"12,971",934,"3,003","2,000","6,871",163
Music Bank,05-30-2025,1.,RIIZE,Fly Up,"10,452",751,"3,791","1,386","4,484",40
Music Bank,05-30-2025,2.,i-dle,Good Thing,"8,760",345,"4,152","2,000","2,175",88
Music Bank,05-23-2025,1.,BOYNEXTDOOR,I Feel Good,"9,353",575,"4,190",480,"4,057",51
Music Bank,05-23-2025,2.,tripleS,Are You Alive,"4,540",48,"3,131",33,"1,307",21
Music Bank,05-16-2025,1.,P1Harmony,DUH!,"9,716",8,"2,934","1,610","5,180",4
Music Bank,05-16-2025,2.,TWS,Countdown!,"3,333",636,857,"1,713",104,23
