Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (Hanteo),SNS (YouTube),Pre-vote,Broadcast,Live Vote
Show,07-29-2025,1.,WayV,BIG BANDS,"7,650","4,000","1,000",0,500,"1,150","1,000"
Show,07-29-2025,2.,ONE PACT,"YES, NO, MAYBE","3,008","1,430",760,330,180,180,128
Show,07-29-2025,3.,ifeye,r u ok?,"2,872",280,40,"2,000",10,520,22
Show,07-15-2025,1.,CLOSE YOUR EYES,Snowy Summer,"6,002",,,,,,
Show,07-15-2025,2.,H1-Key,Summer Was You,"5,111",,,,,,
Show,07-15-2025,3.,AHOF,Rendezvous,"4,970",,,,,,
Show,07-08-2025,1.,AHOF,Rendezvous,"7,980","2,500","1,000","2,000",500,980,"1,000"
Show,07-08-2025,2.,H1-Key,Summer Was You,"5,137","4,000",10,60,20,"1,020",27
Show,07-08-2025,3.,NouerA,n (number of cases),"2,220",110,600,630,20,850,10
Show,07-01-2025,1.,Cravity,SET NET G0?!,"9,570","5,000",,"3,570",,,"1,000"
Show,07-01-2025,2.,H1-Key,Summer Was You,"2,197","1,050",,"1,080",,,67
Show,07-01-2025,3.,POW,Being Tender,"1,449",470,,820,,,159
Show,06-24-2025,1.,Kang Daniel,Episode,"7,910","4,000","1,000","1,100",500,310,"1,000"
Show,06-24-2025,2.,izna,BEEP,"5,105","1,490",10,"2,000",410,900,295
Show,06-24-2025,3.,KISS OF LIFE,Lips Hips Kiss,"4,130","1,850",170,440,170,"1,390",110
Show,06-17-2025,1.,izna,BEEP,"7,477","2,490",90,"2,000",500,"1,440",957
Show,06-17-2025,2.,KISS OF LIFE,Lips Hips Kiss,"7,420","4,000","1,000",290,480,650,"1,000"
Show,06-17-2025,3.,ARTMS,Icarus,"1,967",270,840,20,30,740,67
Show,06-10-2025,1.,N.Flying,Everlasting,"8,530","4,850",,"2,680",,,"1,000"
Show,06-10-2025,2.,UAU,2 Months,"3,328",500,,"2,590",,,238
Show,06-10-2025,3.,USPEER,ZOOM,"3,153","1,190",,"1,870",,,93
Show,05-20-2025,1.,tripleS,Are You Alive,"9,560","4,000","1,000","2,000",500,"1,060","1,000"
Show,05-20-2025,2.,P1Harmony,DUH!,"4,776","1,520",20,"1,900",220,"1,020",96
Show,05-20-2025,3.,JAECHAN,Poster Boy,"1,248",180,40,10,80,850,88
Show,04-29-2025,1.,TWS,Countdown!,"9,570","4,000","1,000","2,000",500,"1,070","1,000"
Show,04-29-2025,2.,UNIS,SWICY,"4,204",950,20,810,450,"1,070",904
Show,04-29-2025,3.,CHUU,Only cry in the rain,"1,941",760,30,240,10,870,31
Show,04-15-2025,1.,izna,SIGN,"8,450","4,000",0,"2,000",470,980,"1,000"
Show,04-15-2025,2.,xikers,BREATHE,"4,386",470,"1,000",810,500,810,796
Show,04-15-2025,3.,CLOSE YOUR EYES,All My Poetry,"2,809",410,660,890,30,760,59
Show,04-08-2025,1.,CLOSE YOUR EYES,All My Poetry,"8,605","4,000","1,000","2,000",380,740,485
Show,04-08-2025,2.,TEMPEST,Unfreeze,"6,330","3,510",160,280,500,880,"1,000"
Show,04-08-2025,3.,xikers,BREATHE,"3,245","1,360",300,550,140,850,45
Show,04-01-2025,1.,TEN,STUNNER,"8,600","4,000","1,000","1,210",500,890,"1,000"
Show,04-01-2025,2.,STAYC,BEBE,"6,880","3,570",140,"2,000",170,930,70
Show,04-01-2025,3.,THE NEW SIX,For Real!?,"2,139",100,100,"1,200",30,690,19
Show,03-25-2025,1.,STAYC,BEBE,"7,421",,,,,,
Show,03-25-2025,2.,SAY MY NAME,ShaLala,"5,640",,,,,,
Show,03-25-2025,3.,The Wind,Only One,"2,390",,,,,,
Show,03-11-2025,1.,Hearts2Hearts,The Chase,"8,500","4,000",770,"2,000",330,400,"1,000"
Show,03-11-2025,2.,GENBLUE,ACT LIKE THAT,"3,351",30,60,"1,720",500,990,51
Show,03-11-2025,3.,NouerA,N.I.N (New is Now),"2,674",60,"1,000","1,470",30,20,94
Show,03-04-2025,1.,ZEROBASEONE,BLUE,"9,570","4,000","1,000","2,000",500,"1,070","1,000"
Show,03-04-2025,2.,Hearts2Hearts,The Chase,"4,651","2,860",300,590,40,800,61
Show,03-04-2025,3.,ARrC,nu kidz,"1,541",20,10,270,10,"1,220",11
