Show,Date,Placement,Artist,Song,Total
Inkigayo,2023-07-23,3,Parc Jae-jung,Let's Say Goodbye,4104
Inkigayo,2023-08-20,4,SOMI,Fast Forward,0
Inkigayo,2023-08-20,5,Parc Jae-jung,Let's Say Goodbye,0
Inkigayo,2023-09-03,2,Parc Jae-jung,Let's Say Goodbye,4433
Inkigayo,2023-09-10,3,Parc Jae-jung,Let's Say Goodbye,4568
Inkigayo,2023-09-17,3,RIIZE,Get A Guitar,4671
Inkigayo,2023-10-15,3,AKMU,Fry's Dream,5186
Inkigayo,2023-10-22,2,JENNIE,You & Me,6267
Inkigayo,2023-10-22,3,AKMU,Fry's Dream,5176
Inkigayo,2023-10-29,2,JENNIE,You & Me,5709
Inkigayo,2023-10-29,3,AKMU,Fry's Dream,5315
Inkigayo,2023-11-05,2,AKMU,Fry's Dream,5447
Inkigayo,2023-11-05,3,JENNIE,You & Me,5403
Inkigayo,2023-11-12,2,JENNIE,You & Me,6131
Inkigayo,2023-11-12,3,AKMU,Fry's Dream,5088
Inkigayo,2023-11-19,2,AKMU,Fry's Dream,4702
Inkigayo,2023-11-19,3,JENNIE,You & Me,4685
Inkigayo,2023-11-26,3,JENNIE,You & Me,4575
Inkigayo,2023-12-10,3,JENNIE,You & Me,3838
Inkigayo,2024-01-07,2,JENNIE,You & Me,5651
Inkigayo,2024-01-07,3,EXO,?,5368
Inkigayo,2024-01-14,3,JENNIE,You & Me,5203
Inkigayo,2024-01-28,2,Lim Jae-hyun,Rhapsody Of Sadness,4960
Inkigayo,2024-02-04,3,Lim Jae-hyun,Rhapsody Of Sadness,4962
Inkigayo,2024-02-18,3,(G)I-DLE,Wife,6269
Inkigayo,2024-05-12,3,IVE,HEYA,6205
Inkigayo,2024-05-19,2,IVE,HEYA,6744
Inkigayo,2024-05-26,3,IVE,HEYA,5657
Inkigayo,2024-07-14,3,QWER,T.B.H,4173
Inkigayo,2024-09-08,3,DAY6,Time of Our Life,5462
Inkigayo,2024-09-29,2,DAY6,Welcome to the Show,4585
Inkigayo,2024-10-06,2,HWASA,NA,3120
Inkigayo,2024-10-06,3,DAY6,Welcome to the Show,2968
Inkigayo,2024-11-17,3,G-Dragon,POWER,4601
Inkigayo,2024-11-24,2,ENHYPEN,No Doubt,4208
Inkigayo,2024-11-24,3,G-Dragon,POWER,4145
Inkigayo,2024-12-01,3,BABYMONSTER,DRIP,3642
Inkigayo,2024-12-15,3,ROSÉ,number one girl,3816
Inkigayo,2025-01-05,2,ROSÉ,toxic till the end,4835
Inkigayo,2025-01-05,3,ROSÉ,number one girl,4100
Inkigayo,2025-01-12,2,ROSÉ,toxic till the end,4822
Inkigayo,2025-01-12,3,BABYMONSTER,DRIP,4647
Inkigayo,2025-01-19,2,ROSÉ,toxic till the end,4476
Inkigayo,2025-01-26,2,BABYMONSTER,DRIP,4386
Inkigayo,2025-01-26,3,ROSÉ,toxic till the end,4216
Inkigayo,2025-02-02,2,BABYMONSTER,DRIP,4416
Inkigayo,2025-02-02,3,ROSÉ,toxic till the end,4040
Inkigayo,2025-02-09,2,BABYMONSTER,DRIP,5809
Inkigayo,2025-02-09,3,ROSÉ,toxic till the end,4122
Inkigayo,2025-02-16,3,Hwang Karam,I'm Firefly,3803
Inkigayo,2025-02-23,3,Hwang Karam,I'm Firefly,3962
Inkigayo,2025-03-02,3,Hwang Karam,I'm Firefly,3944
Inkigayo,2025-03-09,3,Hwang Karam,I'm Firefly,3177
Inkigayo,2025-03-23,3,ZOZAZZ,Don't you know,3562
Inkigayo,2025-03-30,3,ZOZAZZ,Don't you know,4045
Inkigayo,2025-04-06,2,ZOZAZZ,Don't you know,4637
Music Bank,2023-06-16,2,Taeyoung,SHALALA,6053
Music Bank,2023-08-04,2,TREASURE,BONA BONA,5611
Music Bank,2023-09-15,2,RIIZE,Get A Guitar,5039
Music Bank,2023-09-22,2,Cravity,Ready Or Not,6553
Music Bank,2023-10-06,2,RIIZE,Get A Guitar,3768
Music Bank,2023-11-17,2,ZEROBASEONE,CRUSH,8722
Music Bank,2023-12-01,2,ZEROBASEONE,CRUSH,5127
Music Bank,2024-01-26,2,JD1,who Am I,2499
Music Bank,2024-02-09,3,BTS,Dynamite,2887
Music Bank,2024-02-23,2,TEN,Nightwalker,3739
Music Bank,2024-03-01,2,Twice,ONE SPARK,8165
Music Bank,2024-03-22,2,WENDY,Wish You Hell,6892
Music Bank,2024-05-10,2,IVE,HEYA,7697
Music Bank,2024-05-17,2,IVE,HEYA,6991
Music Bank,2024-07-05,2,Red Velvet,Cosmic,7148
Music Bank,2024-08-09,3,ENHYPEN,Brought The Heat Back,3207
Music Bank,2024-08-30,2,TAEMIN,Sexy In The Air,3766
Music Bank,2024-09-13,2,Tzuyu,Run Away,5345
Music Bank,2024-10-11,3,YENA,NEMONEMO,3146
Music Bank,2024-10-25,2,ITZY,GOLD,5574
Music Bank,2024-11-01,2,ILLIT,Cherish (My Love),7418
Music Bank,2024-11-22,2,ENHYPEN,No Doubt,7709
Music Bank,2024-12-06,2,TWS,Last Festival,5994
Music Bank,2024-12-13,2,Cravity,Now or Never,5840
Music Bank,2024-12-13,5,G-Dragon,POWER,2408
Music Bank,2024-12-20,4,Cravity,Now or Never,3483
Music Bank,2025-01-24,2,Hwang Karam,I'm Firefly,3531
