Show,Date,Placement,Artist,Song,Total,Digital sales,Broadcast,Voting,Physical album,Video views
Music Bank,12-09-2022,1.0,ITZY,Cheshire,"8,462",,,,,
Music Bank,12-02-2022,1.0,CSR,♡Ticon,"6,407",,,,,
Music Bank,11-25-2022,1.0,Verivery,Tap Tap,"6,069",,,,,
Music Bank,11-18-2022,1.0,Highlight,Alone,"7,618",,,,,
Music Bank,11-11-2022,1.0,LE SSERAFIM,ANTIFRAGILE,"6,137",,,,,
Music Bank,11-04-2022,1.0,LE SSERAFIM,ANTIFRAGILE,"8,786",,,,,
Music Bank,10-28-2022,1.0,(G)I-DLE,Nxde,"12,541",,,,,
Music Bank,10-21-2022,1.0,STRAY KIDS,Case 143,"8,113",,,,,
Music Bank,10-14-2022,1.0,STRAY KIDS,Case 143,"11,168",,,,,
Music Bank,10-07-2022,1.0,IVE,After LIKE,"6,966",,,,,
Music Bank,09-30-2022,1.0,NCT 127,2 Baddies,"9,309",,,,,
Music Bank,09-23-2022,1.0,IVE,After LIKE,"7,502",,,,,
Music Bank,09-16-2022,1.0,ONEUS,Same Scent,"8,115",,,,,
Music Bank,09-09-2022,1.0,IVE,After LIKE,"11,406",,,,,
Music Bank,09-02-2022,1.0,IVE,After LIKE,"12,174",,,,,
Music Bank,08-26-2022,1.0,THE BOYZ,Whisper,"11,097",,,,,
Music Bank,08-19-2022,1.0,NewJeans,Attention,"11,150",,,,,
Music Bank,08-12-2022,1.0,ATEEZ,Guerrilla,"6,169",,,,,
Music Bank,08-05-2022,1.0,ATEEZ,Guerrilla,"8,474",,,,,
Music Bank,07-29-2022,1.0,SEVENTEEN,_WORLD,"10,353",,,,,
Music Bank,07-22-2022,1.0,ITZY,SNEAKERS,"10,427",,,,,
Music Bank,07-15-2022,1.0,ENHYPEN,Future Perfect (Pass the Mic),"8,577",,,,,
Music Bank,07-08-2022,1.0,fromis_9,Stay That Way,"8,378",,,,,
Music Bank,07-01-2022,1.0,Kep1er,Up!,"7,268",,,,,
Music Bank,06-24-2022,1.0,BTS,Yet to Come,"5,573",,,,,
Music Bank,06-17-2022,1.0,BTS,Yet to Come,"6,692",,,,,
Music Bank,06-10-2022,1.0,NCT DREAM,Beatbox,"11,069",,,,,
Music Bank,06-03-2022,1.0,SEVENTEEN,Hot,"13,816",,,,,
Music Bank,05-27-2022,1.0,ASTRO,Candy Sugar Pop,"6,561",,,,,
Music Bank,05-20-2022,1.0,TOMORROW X TOGETHER,Good Boy Gone Bad,"12,610",,,,,
Music Bank,05-13-2022,1.0,LE SSERAFIM,FEARLESS,"7,331",,,,,
Music Bank,05-06-2022,1.0,MONSTA X,Love,"8,499",,,,,
Music Bank,04-29-2022,1.0,IVE,LOVE DIVE,"6,959",,,,,
Music Bank,04-22-2022,1.0,IVE,LOVE DIVE,"7,324",,,,,
Music Bank,04-15-2022,1.0,IVE,LOVE DIVE,"12,095",,,,,
Music Bank,04-08-2022,1.0,NCT DREAM,Glitch Mode,"10,718",,,,,
