Show,Date,Placement,Artist,Song,Total,Digital (CIRCLE),Album (CIRCLE),SNS (YouTube),Broadcast,V.Committee,Global Pre-Vote,Text Live Vote,App Live Vote
Show! Music Core,12-17-2022,1.0,LE SSERAFIM,ANTIFRAGILE,"6,396",,,,,,,,
Show! Music Core,12-10-2022,1.0,LE SSERAFIM,ANTIFRAGILE,"6,017",,,,,,,,
Show! Music Core,12-03-2022,1.0,LE SSERAFIM,ANTIFRAGILE,"6,384",,,,,,,,
Show! Music Core,11-26-2022,1.0,Lim Young-woong,London Boy,"7,060",,,,,,,,
Show! Music Core,11-19-2022,1.0,(G)I-DLE,Nxde,"6,191",,,,,,,,
Show! Music Core,11-12-2022,1.0,(G)I-DLE,Nxde,"7,684",,,,,,,,
Show! Music Core,10-29-2022,1.0,(G)I-DLE,Nxde,"9,081",,,,,,,,
Show! Music Core,10-22-2022,1.0,IVE,After LIKE,"6,672",,,,,,,,
Show! Music Core,10-08-2022,1.0,BLACKPINK,Shut Down,"7,472",,,,,,,,
Show! Music Core,10-01-2022,1.0,NCT 127,2 Baddies,"6,638",,,,,,,,
Show! Music Core,09-24-2022,1.0,IVE,After LIKE,"6,935",,,,,,,,
Show! Music Core,09-17-2022,1.0,IVE,After LIKE,"7,807",,,,,,,,
Show! Music Core,09-03-2022,1.0,IVE,After LIKE,"9,191",,,,,,,,
Show! Music Core,08-27-2022,1.0,THE BOYZ,Whisper,"6,197",,,,,,,,
Show! Music Core,08-20-2022,1.0,NewJeans,Attention,"7,495",,,,,,,,
Show! Music Core,08-06-2022,1.0,WSG Wannabe (GayaG),At The Moment,"6,378",,,,,,,,
Show! Music Core,07-23-2022,1.0,WSG Wannabe (GayaG),At The Moment,"6,153",,,,,,,,
Show! Music Core,07-16-2022,1.0,Nayeon,POP!,"7,022",,,,,,,,
Show! Music Core,07-09-2022,1.0,fromis_9,Stay That Way,"8,242",,,,,,,,
Show! Music Core,07-02-2022,1.0,Lim Young-woong,If We Ever Meet Again,"6,678",,,,,,,,
Show! Music Core,06-25-2022,1.0,BTS,Yet to Come,"7,415",,,,,,,,
Show! Music Core,06-11-2022,1.0,NCT DREAM,Beatbox,"9,800",,,,,,,,
Show! Music Core,06-04-2022,1.0,Kang Daniel,Upside Down,"7,820",,,,,,,,
Show! Music Core,05-21-2022,1.0,PSY,That That,"6,586",,,,,,,,
Show! Music Core,05-14-2022,1.0,Lim Young-woong,If We Ever Meet Again,"7,885",,,,,,,,
Show! Music Core,05-07-2022,1.0,BIGBANG,Still Life,"6,551",,,,,,,,
Show! Music Core,04-30-2022,1.0,BIGBANG,Still Life,"7,883",,,,,,,,
