Show,Date,Placement,Artist,Song,Total,Digital,Physical,Pre-vote,SNS,Broadcast
Show Champion,12-14-2022,1.0,Red Velvet,Birthday,"3,936",,,,,
Show Champion,12-07-2022,1.0,Red Velvet,Birthday,"6,022",,,,,
Show Champion,11-30-2022,1.0,TEMPEST,Dragon,"7,549",,,,,
Show Champion,11-23-2022,1.0,Verivery,Tap Tap,"4,858",,,,,
Show Champion,11-16-2022,1.0,Highlight,Alone,"5,958",,,,,
Show Champion,11-09-2022,1.0,(G)I-DLE,Nxde,"5,435",,,,,
Show Champion,10-26-2022,1.0,(G)I-DLE,Nxde,"8,771",,,,,
Show Champion,10-19-2022,1.0,STRAY KIDS,Case 143,"6,308",,,,,
Show Champion,10-12-2022,1.0,STRAY KIDS,Case 143,"6,733",,,,,
Show Champion,10-05-2022,1.0,BLACKPINK,Shut Down,"6,764",,,,,
Show Champion,09-28-2022,1.0,BLACKPINK,Shut Down,"7,022",,,,,
Show Champion,09-21-2022,1.0,BLACKPINK,Shut Down,"5,227",,,,,
Show Champion,09-14-2022,1.0,ONEUS,Same Scent,"7,450",,,,,
Show Champion,09-07-2022,1.0,IVE,After LIKE,"5,458",,,,,
Show Champion,08-31-2022,1.0,IVE,After LIKE,"8,632",,,,,
Show Champion,08-24-2022,1.0,BLACKPINK,Pink Venom,"4,435",,,,,
Show Champion,08-10-2022,1.0,ATEEZ,Guerrilla,"5,894",,,,,
Show Champion,08-03-2022,1.0,ATEEZ,Guerrilla,"6,189",,,,,
Show Champion,07-27-2022,1.0,SEVENTEEN,_WORLD,"6,442",,,,,
Show Champion,07-20-2022,1.0,aespa,Girls,"6,777",,,,,
Show Champion,07-13-2022,1.0,ENHYPEN,Future Perfect (Pass the Mic),"6,263",,,,,
Show Champion,07-06-2022,1.0,fromis_9,Stay That Way,"8,690",,,,,
Show Champion,06-29-2022,1.0,LOONA,Flip That,"5,439",,,,,
Show Champion,06-15-2022,1.0,BTS,Yet to Come,"8,000",,,,,
Show Champion,06-08-2022,1.0,NCT DREAM,Beatbox,"9,810",,,,,
Show Champion,06-01-2022,1.0,LE SSERAFIM,FEARLESS,"5,127",,,,,
Show Champion,05-25-2022,1.0,ASTRO,Candy Sugar Pop,"7,237",,,,,
Show Champion,05-18-2022,1.0,PSY,That That,"4,506",,,,,
Show Champion,05-11-2022,1.0,PSY,That That,"4,514",,,,,
Show Champion,05-04-2022,1.0,MONSTA X,Love,"4,383",,,,,
Show Champion,04-20-2022,1.0,Dreamcatcher,MAISON,"6,545",,,,,
Show Champion,04-13-2022,1.0,IVE,LOVE DIVE,"6,437",,,,,
Show Champion,04-06-2022,1.0,NCT DREAM,Glitch Mode,"5,598",,,,,
Show Champion,03-30-2022,1.0,STRAY KIDS,Maniac,"6,020",,,,,
Show Champion,03-23-2022,1.0,(G)I-DLE,TOMBOY,"6,843",,,,,
Show Champion,03-09-2022,1.0,STAYC,RUN2U,"5,022",,,,,
Show Champion,03-02-2022,1.0,BtoB,The Song,"5,334",,,,,
Show Champion,02-23-2022,1.0,TREASURE,JIKJIN,"5,486",,,,,
Show Champion,02-16-2022,1.0,VIVIZ,BOP BOP!,"7,541",,,,,
Show Champion,01-26-2022,1.0,fromis_9,DM,"7,642",,,,,
Show Champion,01-19-2022,1.0,ENHYPEN,Blessed-Cursed,"7,178",,,,,
Show Champion,12-06-2023,1.0,ATEEZ,Crazy Form,"5,051",649,"1,500","1,902","1,000",0
Show Champion,12-06-2023,2.0,Taeyeon,To. X,"3,762","3,500",157,14,91,0
Show Champion,12-06-2023,3.0,Dreamcatcher,OOTD,"3,260",0,25,"2,000",302,933
Show Champion,12-06-2023,4.0,aespa,Drama,"3,176","3,009",6,7,154,0
Show Champion,12-06-2023,5.0,Red Velvet,Chill Kill,"2,034","1,780",16,200,38,0
Show Champion,11-15-2023,1.0,STRAY KIDS,LA LA LA LA,"5,500","1,121","1,500","2,000",879,0
Show Champion,11-15-2023,2.0,ZEROBASEONE,CRUSH,"5,356",424,"1,416","1,675",774,"1,067"
Show Champion,11-15-2023,3.0,LE SSERAFIM,Perfect Night,"3,716","3,500",0,4,212,0
Show Champion,11-15-2023,4.0,Jung Kook,Standing Next To You,"3,165","2,252",189,207,517,0
Show Champion,11-15-2023,5.0,aespa,Drama,"3,100","1,272",360,68,"1,000",400
Show Champion,11-08-2023,1.0,NiziU,HEARTRIS,"4,149",0,82,"2,000","1,000","1,067"
Show Champion,11-08-2023,2.0,Jung Kook,Standing Next To You,"3,632",527,"1,500",983,622,0
Show Champion,11-08-2023,3.0,IVE,Baddie,"3,622","3,500",6,43,73,0
Show Champion,11-08-2023,4.0,SEVENTEEN,God of Music,"3,366","1,647",82,"1,523",114,0
Show Champion,11-08-2023,5.0,Golden Child,Feel Me,"2,314",57,29,145,83,"2,000"
Show Champion,11-01-2023,1.0,SEVENTEEN,God of Music,"7,061","2,561","1,500","2,000","1,000",0
Show Champion,11-01-2023,2.0,IVE,Baddie,"3,617","3,500",4,53,60,0
Show Champion,11-01-2023,3.0,JENNIE,You & Me,"3,547","3,295",0,41,211,0
Show Champion,11-01-2023,4.0,"Sung Si-Kyung, Naul",Even For A Moment,"2,593","2,577",0,1,15,0
Show Champion,11-01-2023,5.0,Lim Young-woong,Do or Die,"1,846","1,196",0,631,19,0
Show Champion,10-25-2023,1.0,IVE,Baddie,"4,958","2,760","1,500",593,105,0
Show Champion,10-25-2023,2.0,TOMORROW X TOGETHER,Chasing That Feeling,"4,325",571,754,"2,000","1,000",0
Show Champion,10-25-2023,3.0,JENNIE,You & Me,"4,176","3,500",0,352,324,0
Show Champion,10-25-2023,4.0,Lim Young-woong,Do or Die,"2,896","1,219",0,"1,646",31,0
Show Champion,10-25-2023,5.0,"Sung Si-Kyung, Naul",Even For A Moment,"1,720","1,664",0,1,55,0
Show Champion,10-18-2023,1.0,NCT 127,Fact Check,"5,082","1,213","1,146","1,958",765,0
Show Champion,10-18-2023,2.0,JENNIE,You & Me,"4,979","3,500",0,879,600,0
Show Champion,10-18-2023,3.0,TOMORROW X TOGETHER,Chasing That Feeling,"4,071",307,"1,500","1,264","1,000",0
Show Champion,10-18-2023,4.0,Lim Young-woong,Do or Die,"3,445","1,327",0,"2,000",118,0
Show Champion,10-18-2023,5.0,IVE,Baddie,"1,882",706,739,37,400,0
Show Champion,10-11-2023,1.0,NCT 127,Fact Check,"7,059","2,681","1,500","2,000",878,0
Show Champion,10-11-2023,2.0,Jung Kook,3D,"6,339","3,500",0,"1,904",935,0
Show Champion,10-11-2023,3.0,JENNIE,You & Me,"4,383","3,355",0,28,"1,000",0
Show Champion,10-11-2023,4.0,BIGNaughty,Vancouver 2,"2,778","2,766",0,0,12,0
Show Champion,10-11-2023,5.0,EPEX,FULL METAL JACKET,"2,683",0,972,12,632,"1,067"
Show Champion,09-27-2023,1.0,TEMPEST,Vroom Vroom,"5,317",187,"1,063","2,000","1,000","1,067"
Show Champion,09-27-2023,2.0,HWASA,I Love My Body,"5,020","3,500",0,"1,306",214,0
Show Champion,09-27-2023,3.0,EVNNE,TROUBLE,"4,194",0,"1,500",536,158,"2,000"
Show Champion,09-27-2023,4.0,D.O,Somebody,"2,026",924,606,318,178,0
Show Champion,09-27-2023,5.0,RIIZE,Get A Guitar,"1,777","1,560",155,3,59,0
Show Champion,09-20-2023,1.0,V,Slow Dancing,"4,599",378,"1,500","1,958",763,0
Show Champion,09-20-2023,2.0,HWASA,I Love My Body,"4,360","1,406",0,"2,000",954,0
Show Champion,09-20-2023,3.0,AKMU,Love Lee,"3,750","3,500",0,9,241,0
Show Champion,09-20-2023,4.0,Cravity,Ready Or Not,"3,139",214,995,163,834,933
Show Champion,09-20-2023,5.0,KEY,Good & Great,"2,765",205,386,"1,272",902,0
Show Champion,09-13-2023,1.0,BOYNEXTDOOR,But Sometimes,"4,486",191,396,950,949,"2,000"
Show Champion,09-13-2023,2.0,V,Slow Dancing,"4,255",122,"1,500","2,000",633,0
Show Champion,09-13-2023,3.0,AKMU,Love Lee,"3,594","3,500",0,9,85,0
Show Champion,09-13-2023,4.0,RIIZE,Get A Guitar,"3,155",497,896,762,"1,000",0
Show Champion,09-13-2023,5.0,HWASA,I Love My Body,"1,689",564,0,557,568,0
Show Champion,09-06-2023,1.0,NCT U,Baggy Jeans,"4,982",482,"1,500","2,000","1,000",0
