Show,Date,Artist,Song,Total,Placement,file_path,vggish_dance,vggish_party,vggish_happy,vggish_sad,effnet_party,effnet_happy,effnet_sad,effnet_approachability,effnet_engagement,effnet_timbre_bright,tempo
Music Bank,2022-01-07,NCT U,Universe (Let's Play Ball),5930,1,data/audio/universe_(let's_play_ball)_nct_u.flac,90.83435535430908,24.404428899288177,69.48472261428833,76.00728273391724,1.9501002505421638,47.70258963108063,92.82734394073486,84.67796444892883,96.71334028244019,50.498026609420776,90.0
Show! Music Core,2022-01-08,IVE,ELEVEN,6408,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
Inkigayo,2022-01-09,IVE,ELEVEN,8533,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
M Countdown,2022-01-13,Kep1er,WA DA DA,6500,1,data/audio/wa_da_da_kep1er.flac,96.80610299110413,8.892013132572174,78.54176759719849,93.30032467842102,1.4276811853051186,66.82645082473755,95.882248878479,71.22657895088196,97.78968691825867,49.05061423778534,126.0
Music Bank,2022-01-14,Kep1er,WA DA DA,3678,1,data/audio/wa_da_da_kep1er.flac,96.80610299110413,8.892013132572174,78.54176759719849,93.30032467842102,1.4276811853051186,66.82645082473755,95.882248878479,71.22657895088196,97.78968691825867,49.05061423778534,126.0
Show! Music Core,2022-01-15,IVE,ELEVEN,6532,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
Inkigayo,2022-01-16,IVE,ELEVEN,6583,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
Show Champion,2022-01-19,ENHYPEN,Blessed-Cursed,7178,1,data/audio/blessed-cursed_enhypen.flac,91.09269976615906,21.029546856880188,72.84202575683594,68.90479326248169,7.328414171934128,67.96329617500305,91.08458161354065,96.11892104148865,97.70245552062988,55.716848373413086,127.0
M Countdown,2022-01-20,Kep1er,WA DA DA,6569,1,data/audio/wa_da_da_kep1er.flac,96.80610299110413,8.892013132572174,78.54176759719849,93.30032467842102,1.4276811853051186,66.82645082473755,95.882248878479,71.22657895088196,97.78968691825867,49.05061423778534,126.0
Music Bank,2022-01-21,ENHYPEN,Blessed-Cursed,8377,1,data/audio/blessed-cursed_enhypen.flac,91.09269976615906,21.029546856880188,72.84202575683594,68.90479326248169,7.328414171934128,67.96329617500305,91.08458161354065,96.11892104148865,97.70245552062988,55.716848373413086,127.0
Show! Music Core,2022-01-22,IVE,ELEVEN,6600,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
Inkigayo,2022-01-23,IVE,ELEVEN,5927,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
The Show,2022-01-25,fromis_9,DM,8353,1,data/audio/dm_fromis_9.flac,90.32832384109497,25.56801438331604,74.98595714569092,81.90231919288635,8.184981346130371,57.56939649581909,84.01138186454773,89.11288380622864,88.87823224067688,53.398507833480835,122.0
Show Champion,2022-01-26,fromis_9,DM,7642,1,data/audio/dm_fromis_9.flac,90.32832384109497,25.56801438331604,74.98595714569092,81.90231919288635,8.184981346130371,57.56939649581909,84.01138186454773,89.11288380622864,88.87823224067688,53.398507833480835,122.0
M Countdown,2022-01-27,Whee in,Make Me happy,7220,1,data/audio/make_me_happy_whee_in.flac,77.36413478851318,52.36344337463379,53.92906665802002,46.55252397060394,16.85548424720764,9.962019324302673,69.15634870529175,91.47405624389648,77.85720229148865,52.38417387008667,104.0
Music Bank,2022-01-28,IU,Winter Sleep,2949,1,data/audio/winter_sleep_iu.flac,17.213277518749237,97.30584025382996,6.383976340293884,3.897774964570999,93.64429116249084,1.894574612379074,6.873929500579834,87.42424845695496,51.12047791481018,53.721725940704346,68.0
Inkigayo,2022-01-30,GOT the beat,Step Back,5612,1,data/audio/step_back_got_the_beat.flac,91.3153350353241,18.402408063411713,72.82759547233582,72.32191562652588,7.423558831214905,59.20476317405701,89.56515789031982,77.11898684501648,95.26841640472412,48.678696155548096,162.0
M Countdown,2022-02-03,GOT the beat,Step Back,0,1,data/audio/step_back_got_the_beat.flac,91.3153350353241,18.402408063411713,72.82759547233582,72.32191562652588,7.423558831214905,59.20476317405701,89.56515789031982,77.11898684501648,95.26841640472412,48.678696155548096,162.0
Music Bank,2022-02-04,PENTAGON,Feelin' Like,3426,1,data/audio/feelin'_like_pentagon.flac,96.06204032897949,13.34584355354309,76.88461542129517,80.30177354812622,3.2366249710321426,41.44735634326935,88.57565522193909,86.62628531455994,96.82377576828003,51.69631838798523,112.0
M Countdown,2022-02-10,YENA,Smiley,8097,1,data/audio/smiley_yena.flac,94.26789879798889,13.643603026866913,81.89581036567688,91.41988158226013,2.636444568634033,69.65263485908508,95.69152593612671,84.33146476745605,96.80272936820984,50.53269863128662,156.0
Music Bank,2022-02-11,IVE,ELEVEN,3058,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
Show Champion,2022-02-16,VIVIZ,BOP BOP!,7541,1,data/audio/bop_bop!_viviz.flac,93.14073324203491,16.652527451515198,81.33084774017334,81.71024918556213,4.714489728212357,52.337056398391724,90.92433452606201,89.15212750434875,92.94165968894958,51.258665323257446,126.0
M Countdown,2022-02-17,VIVIZ,BOP BOP!,6564,1,data/audio/bop_bop!_viviz.flac,93.14073324203491,16.652527451515198,81.33084774017334,81.71024918556213,4.714489728212357,52.337056398391724,90.92433452606201,89.15212750434875,92.94165968894958,51.258665323257446,126.0
Music Bank,2022-02-18,IVE,ELEVEN,2566,1,data/audio/eleven_ive.flac,94.9694812297821,14.487433433532715,81.25317692756653,86.6186261177063,2.6237227022647858,44.95405554771423,88.75374794006348,91.41362309455872,92.12751984596252,51.92278027534485,120.0
Inkigayo,2022-02-20,GOT the beat,Step Back,7224,1,data/audio/step_back_got_the_beat.flac,91.3153350353241,18.402408063411713,72.82759547233582,72.32191562652588,7.423558831214905,59.20476317405701,89.56515789031982,77.11898684501648,95.26841640472412,48.678696155548096,162.0
The Show,2022-02-22,Apink,Dilemma,9700,1,data/audio/dilemma_apink.flac,93.84909868240356,18.347659707069397,73.2057511806488,81.80160522460938,1.9221307709813118,56.21790289878845,89.605712890625,84.63501334190369,95.40605545043945,50.79822540283203,130.0
Show Champion,2022-02-23,TREASURE,JIKJIN,5486,1,data/audio/jikjin_treasure.flac,86.86912059783936,28.427812457084656,68.03412437438965,67.85050630569458,11.007692664861679,58.988773822784424,83.3706259727478,82.91316628456116,96.00105285644531,50.433945655822754,130.0
M Countdown,2022-02-24,Taeyeon,INVU,9676,1,data/audio/invu_taeyeon.flac,81.63209557533264,50.54321885108948,59.9301278591156,45.7044780254364,8.321227133274078,26.31359100341797,81.19683861732483,92.19608902931213,91.10775589942932,49.88445043563843,107.0
