,Episode,Date,Artist,Song,Points,Award Show,Search Query
0,"1,121","January 9, 2022",Ive,Eleven,8533,Inkigayo,track:Eleven artist:Ive year:2000-2022
1,"1,122","January 16, 2022",Ive,Eleven,6583,Inkigayo,track:Eleven artist:Ive year:2000-2022
2,"1,123","January 23, 2022",Ive,Eleven,5927,Inkigayo,track:Eleven artist:Ive year:2000-2022
3,"1,124","January 30, 2022",Got the Beat,Step Back,5612,Inkigayo,track:Step Back artist:Got the Beat year:2000-2022
4,"1,125","February 20, 2022",Got the Beat,Step Back,7224,Inkigayo,track:Step Back artist:Got the Beat year:2000-2022
5,"1,126","February 27, 2022",Taeyeon,INVU,7041,Inkigayo,track:INVU artist:Taeyeon year:2000-2022
6,"1,127","March 6, 2022",Taeyeon,INVU,6783,Inkigayo,track:INVU artist:Taeyeon year:2000-2022
7,"1,128","March 13, 2022",Taeyeon,INVU,7083,Inkigayo,track:INVU artist:Taeyeon year:2000-2022
8,"1,129","March 20, 2022",Kim Min-seok,Drunken Confession,5514,Inkigayo,track:Drunken Confession artist:Kim Min-seok year:2000-2022
9,"1,130","March 27, 2022",(G)I-dle,Tomboy,8037,Inkigayo,track:Tomboy artist:(G)I-dle year:2000-2022
10,"1,131","April 3, 2022",(G)I-dle,Tomboy,9648  ,Inkigayo,track:Tomboy artist:(G)I-dle year:2000-2022
11,"1,132","April 10, 2022",NCT Dream,Glitch Mode,6845,Inkigayo,track:Glitch Mode artist:NCT Dream year:2000-2022
12,"1,133","April 17, 2022",Big Bang,Still Life,8673,Inkigayo,track:Still Life artist:Big Bang year:2000-2022
13,"1,134","April 24, 2022",Big Bang,Still Life,9394,Inkigayo,track:Still Life artist:Big Bang year:2000-2022
14,"1,135","May 1, 2022",Big Bang,Still Life,8681,Inkigayo,track:Still Life artist:Big Bang year:2000-2022
15,"1,136","May 8, 2022",Ive,Love Dive,6726,Inkigayo,track:Love Dive artist:Ive year:2000-2022
16,"1,137","May 15, 2022",Psy,That That,9402,Inkigayo,track:That That artist:Psy year:2000-2022
17,"1,138","May 22, 2022",Psy,That That,9108,Inkigayo,track:That That artist:Psy year:2000-2022
18,"1,139","May 29, 2022",Psy,That That,7620,Inkigayo,track:That That artist:Psy year:2000-2022
19,"1,140","June 5, 2022",(G)I-dle,Tomboy,6314,Inkigayo,track:Tomboy artist:(G)I-dle year:2000-2022
20,"1,141","June 12, 2022",NCT Dream,Beatbox,7292,Inkigayo,track:Beatbox artist:NCT Dream year:2000-2022
21,"1,142","June 19, 2022",BTS,Yet to Come,7007,Inkigayo,track:Yet to Come artist:BTS year:2000-2022
22,"1,143","June 26, 2022",BTS,Yet to Come,9479,Inkigayo,track:Yet to Come artist:BTS year:2000-2022
23,"1,144","July 3, 2022",Ive,Love Dive,6126,Inkigayo,track:Love Dive artist:Ive year:2000-2022
24,"1,145","July 10, 2022",Nayeon,Pop!,6922,Inkigayo,track:Pop! artist:Nayeon year:2000-2022
25,"1,146","July 17, 2022",Ive,Love Dive,5955,Inkigayo,track:Love Dive artist:Ive year:2000-2022
26,"1,147","July 24, 2022",Nayeon,Pop!,7103,Inkigayo,track:Pop! artist:Nayeon year:2000-2022
27,"1,148","July 31, 2022",Seventeen,_World,7092,Inkigayo,track:_World artist:Seventeen year:2000-2022
28,"1,149","August 7, 2022",Nayeon,Pop!,7201,Inkigayo,track:Pop! artist:Nayeon year:2000-2022
29,"1,150","August 14, 2022",Itzy,Sneakers,7353,Inkigayo,track:Sneakers artist:Itzy year:2000-2022
30,"1,151","August 21, 2022",NewJeans,Attention,8273,Inkigayo,track:Attention artist:NewJeans year:2000-2022
31,"1,152","August 28, 2022",NewJeans,Attention,6300,Inkigayo,track:Attention artist:NewJeans year:2000-2022
32,"1,153","September 4, 2022",Blackpink,Pink Venom,9292,Inkigayo,track:Pink Venom artist:Blackpink year:2000-2022
33,"1,154","September 18, 2022",Blackpink,Pink Venom,7977,Inkigayo,track:Pink Venom artist:Blackpink year:2000-2022
34,"1,155","September 25, 2022",Blackpink,Pink Venom,7129,Inkigayo,track:Pink Venom artist:Blackpink year:2000-2022
35,"1,156","October 2, 2022",Blackpink,Shut Down,9077,Inkigayo,track:Shut Down artist:Blackpink year:2000-2022
36,"1,157","October 9, 2022",Blackpink,Shut Down,8991,Inkigayo,track:Shut Down artist:Blackpink year:2000-2022
37,"1,158","October 16, 2022",Blackpink,Shut Down,7641,Inkigayo,track:Shut Down artist:Blackpink year:2000-2022
38,"1,159","October 23, 2022",Ive,After Like,7038,Inkigayo,track:After Like artist:Ive year:2000-2022
39,"1,160","November 6, 2022",(G)I-dle,Nxde,9409,Inkigayo,track:Nxde artist:(G)I-dle year:2000-2022
40,"1,161","November 13, 2022",(G)I-dle,Nxde,9164,Inkigayo,track:Nxde artist:(G)I-dle year:2000-2022
41,"1,162","November 20, 2022",(G)I-dle,Nxde,6624,Inkigayo,track:Nxde artist:(G)I-dle year:2000-2022
42,"1,163","November 27, 2022",Younha,Event Horizon,6482,Inkigayo,track:Event Horizon artist:Younha year:2000-2022
43,"1,164","December 4, 2022",Younha,Event Horizon,6319,Inkigayo,track:Event Horizon artist:Younha year:2000-2022
44,"1,165","December 11, 2022",Younha,Event Horizon,6164,Inkigayo,track:Event Horizon artist:Younha year:2000-2022
45,"1,166","January 8, 2023",NewJeans,Ditto,6719,Inkigayo,track:Ditto artist:NewJeans year:2000-2023
46,"1,167","January 15, 2023",NewJeans,OMG,8795,Inkigayo,track:OMG artist:NewJeans year:2000-2023
